"18510690","TOTAL","T","DE937",2014,-273
"18510691","TOTAL","T","DE938",2014,-87
"18510692","TOTAL","T","DE939",2014,619
"18510693","TOTAL","T","DE93A",2014,73
"18510694","TOTAL","T","DE93B",2014,189
"18510695","TOTAL","T","DE94",2014,6443
"18510696","TOTAL","T","DE941",2014,265
"18510697","TOTAL","T","DE942",2014,31
"18510698","TOTAL","T","DE943",2014,717
"18510699","TOTAL","T","DE944",2014,1055
"18510700","TOTAL","T","DE945",2014,109
"18510701","TOTAL","T","DE946",2014,802
"18510702","TOTAL","T","DE947",2014,285
"18510703","TOTAL","T","DE948",2014,497
"18510704","TOTAL","T","DE949",2014,848
"18510705","TOTAL","T","DE94A",2014,-20
"18510706","TOTAL","T","DE94B",2014,155
"18510707","TOTAL","T","DE94C",2014,629
"18510708","TOTAL","T","DE94D",2014,441
"18510709","TOTAL","T","DE94E",2014,258
"18510710","TOTAL","T","DE94F",2014,549
"18510711","TOTAL","T","DE94G",2014,-172
"18510712","TOTAL","T","DE94H",2014,-49
"18510713","TOTAL","T","DEA1",2014,11940
"18510714","TOTAL","T","DEA11",2014,3420
"18510715","TOTAL","T","DEA12",2014,410
"18510716","TOTAL","T","DEA13",2014,1897
"18510717","TOTAL","T","DEA14",2014,399
"18510718","TOTAL","T","DEA15",2014,369
"18510719","TOTAL","T","DEA16",2014,450
"18510720","TOTAL","T","DEA17",2014,501
"18510721","TOTAL","T","DEA18",2014,-472
"18510722","TOTAL","T","DEA19",2014,501
"18510723","TOTAL","T","DEA1A",2014,899
"18510724","TOTAL","T","DEA1B",2014,1015
"18510725","TOTAL","T","DEA1C",2014,730
"18510726","TOTAL","T","DEA1D",2014,1474
"18510727","TOTAL","T","DEA1E",2014,271
"18510728","TOTAL","T","DEA1F",2014,99
"18510729","TOTAL","T","DEA2",2014,16780
"18510730","TOTAL","T","DEA22",2014,1966
"18510731","TOTAL","T","DEA23",2014,8065
"18510732","TOTAL","T","DEA24",2014,636
"18510733","TOTAL","T","DEA26",2014,329
"18510734","TOTAL","T","DEA27",2014,2198
"18510735","TOTAL","T","DEA28",2014,252
"18510736","TOTAL","T","DEA29",2014,268
"18510737","TOTAL","T","DEA2A",2014,-593
"18510738","TOTAL","T","DEA2B",2014,311
"18510739","TOTAL","T","DEA2C",2014,1558
"18510740","TOTAL","T","DEA2D",2014,1776
"18510741","TOTAL","T","DEA3",2014,5952
"18510742","TOTAL","T","DEA31",2014,-46
"18510743","TOTAL","T","DEA32",2014,308
"18510744","TOTAL","T","DEA33",2014,6890
"18510745","TOTAL","T","DEA34",2014,-472
"18510746","TOTAL","T","DEA35",2014,-203
"18510747","TOTAL","T","DEA36",2014,-44
"18510748","TOTAL","T","DEA37",2014,-140
"18510749","TOTAL","T","DEA38",2014,-297
"18510750","TOTAL","T","DEA4",2014,-700
"18510751","TOTAL","T","DEA41",2014,583
"18510752","TOTAL","T","DEA42",2014,765
"18510753","TOTAL","T","DEA43",2014,-351
"18510754","TOTAL","T","DEA44",2014,-693
"18510755","TOTAL","T","DEA45",2014,-795
"18510756","TOTAL","T","DEA46",2014,-585
"18510757","TOTAL","T","DEA47",2014,393
"18510758","TOTAL","T","DEA5",2014,-173
"18510759","TOTAL","T","DEA51",2014,728
"18510760","TOTAL","T","DEA52",2014,1999
"18510761","TOTAL","T","DEA53",2014,-283
"18510762","TOTAL","T","DEA54",2014,519
"18510763","TOTAL","T","DEA55",2014,336
"18510764","TOTAL","T","DEA56",2014,223
"18510765","TOTAL","T","DEA57",2014,-1020
"18510766","TOTAL","T","DEA58",2014,-1656
"18510767","TOTAL","T","DEA59",2014,-387
"18510768","TOTAL","T","DEA5A",2014,-114
"18510769","TOTAL","T","DEA5B",2014,142
"18510770","TOTAL","T","DEA5C",2014,-675
"18510771","TOTAL","T","DEB1",2014,-136
"18510772","TOTAL","T","DEB11",2014,1216
"18510773","TOTAL","T","DEB12",2014,359
"18510774","TOTAL","T","DEB13",2014,-402
"18510775","TOTAL","T","DEB14",2014,327
"18510776","TOTAL","T","DEB15",2014,-529
"18510777","TOTAL","T","DEB16",2014,-115
"18510778","TOTAL","T","DEB17",2014,96
"18510779","TOTAL","T","DEB18",2014,-23
"18510780","TOTAL","T","DEB19",2014,-404
"18510781","TOTAL","T","DEB1A",2014,-369
"18510782","TOTAL","T","DEB1B",2014,-308
"18510783","TOTAL","T","DEB2",2014,927
"18510784","TOTAL","T","DEB21",2014,365
"18510785","TOTAL","T","DEB22",2014,-467
"18510786","TOTAL","T","DEB23",2014,297
